date,18,19,20
5/13/18,28.70000,25.30000,24.50000
5/14/18,30.90000,30.80000,29.80000
5/15/18,32.90000,31.70000,30.70000
5/16/18,29.30000,28.40000,27.60000
5/17/18,28.10000,27.20000,25.70000
5/18/18,29.20000,28.80000,27.60000
5/19/18,29.70000,28.90000,28.60000
5/20/18,28.40000,25.70000,25.20000
5/21/18,44.80000,45.00000,43.90000
5/22/18,44.30000,42.00000,39.40000
5/23/18,35.50000,34.40000,33.60000
5/24/18,36.70000,36.70000,35.90000
5/25/18,34.00000,34.30000,32.80000
5/26/18,36.90000,35.50000,34.60000
5/27/18,36.70000,30.80000,30.90000
5/28/18,35.40000,34.60000,33.30000
5/29/18,32.20000,31.90000,31.10000
5/30/18,33.60000,33.40000,32.60000
5/31/18,40.90000,36.60000,34.40000
6/1/18,36.60000,37.20000,34.50000
6/2/18,33.10000,32.10000,31.90000
6/3/18,31.40000,29.40000,29.30000
6/4/18,31.60000,31.40000,31.20000
6/5/18,32.90000,32.50000,32.00000
6/6/18,34.10000,33.40000,32.70000
6/7/18,32.30000,32.20000,31.60000
6/8/18,42.10000,33.80000,33.30000
6/9/18,31.30000,31.70000,31.60000
6/10/18,33.30000,29.00000,28.20000
6/11/18,40.20000,38.30000,36.40000
6/12/18,31.30000,33.20000,31.30000
6/13/18,32.70000,32.00000,30.50000
6/14/18,38.10000,35.90000,35.20000
6/15/18,33.80000,32.70000,32.10000
6/16/18,31.00000,31.10000,30.10000
6/17/18,28.10000,26.10000,25.50000
6/18/18,38.80000,34.80000,32.90000
6/19/18,43.80000,41.60000,39.90000
6/20/18,37.80000,37.60000,34.50000
6/21/18,37.00000,36.20000,35.00000
6/22/18,36.20000,35.20000,34.30000
6/23/18,35.40000,35.10000,34.30000
6/24/18,36.40000,31.50000,31.20000
6/25/18,49.60000,47.20000,43.60000
6/26/18,46.60000,44.70000,42.70000
6/27/18,43.60000,41.00000,38.80000
6/28/18,32.90000,32.90000,32.00000
6/29/18,34.40000,33.20000,31.20000
